"ID","PW","NAME","GENDER","EMAIL","MOBILE","PHONE","ZIP","ROAD_ADDRESS","JIBUN_ADDRESS","DETAIL_ADDRESS","BIRTHDAY","JOINDATE"
"mbc_1065","#Abcd1234","고민재","f","mbc_65@abcd.com","010-1234-1065","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","103동 1115호",99/05/10,22/07/28
"mbc_1066","#Abcd1234","윤민한","m","mbc_66@abcd.com","010-1234-1066","02-860-1234","07376","서울특별시 영등포구 도신로 31 (대림동, 현대3차아파트)","서울특별시 영등포구 대림동 608-1 현대3차아파트","304동 2407호",26/09/17,23/10/28
"mbc_1067","#Abcd1234","오이정","f","mbc_67@abcd.com","010-1234-1067","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","101동 1203호",22/10/01,11/03/04
"mbc_1068","#Abcd1234","한상수","m","mbc_68@abcd.com","010-1234-1068","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1103동 2415호",08/02/09,23/02/20
"mbc_1069","#Abcd1234","성구희","m","mbc_69@abcd.com","010-1234-1069","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","102동 1714호",22/05/18,15/07/19
"mbc_1070","#Abcd1234","정구연","f","mbc_70@abcd.com","010-1234-1070","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","112동 1618호",96/02/11,20/11/04
"mbc_1071","#Abcd1234","손이철","f","mbc_71@abcd.com","010-1234-1071","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","105동 1512호",05/08/15,21/11/04
"mbc_1072","#Abcd1234","선우이한","f","mbc_72@abcd.com","010-1234-1072","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","113동 1403호",79/08/07,14/09/23
"mbc_1073","#Abcd1234","서문원석","m","mbc_73@abcd.com","010-1234-1073","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1109동 1315호",21/04/21,15/12/18
"mbc_1074","#Abcd1234","임원민","f","mbc_74@abcd.com","010-1234-1074","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","103동 1102호",53/07/25,24/04/01
"mbc_1075","#Abcd1234","배승섭","f","mbc_75@abcd.com","010-1234-1075","02-860-1234","08845","서울특별시 관악구 신림로29길 8 (신림동, 신림현대아파트)","서울특별시 관악구 신림동 1694 신림현대아파트","110동 1206호",25/09/21,22/08/12
"mbc_1076","#Abcd1234","오이제","f","mbc_76@abcd.com","010-1234-1076","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1106동 1113호",25/07/28,18/02/14
"mbc_1077","#Abcd1234","조순수","m","mbc_77@abcd.com","010-1234-1077","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","108동 1015호",08/10/07,13/02/02
"mbc_1078","#Abcd1234","권성빈","f","mbc_78@abcd.com","010-1234-1078","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","112동 1104호",14/05/12,15/04/14
"mbc_1079","#Abcd1234","하숙한","f","mbc_79@abcd.com","010-1234-1079","02-860-1234","08770","서울특별시 관악구 남부순환로 1430 (신림동, 신림푸르지오아파트)","서울특별시 관악구 신림동 1730 신림푸르지오아파트","116동 1603호",01/07/30,13/05/18
"mbc_1080","#Abcd1234","차정수","f","mbc_80@abcd.com","010-1234-1080","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1105동 2408호",04/11/17,10/02/01
"mbc_1081","#Abcd1234","고희수","m","mbc_81@abcd.com","010-1234-1081","02-860-1234","07376","서울특별시 영등포구 도신로 31 (대림동, 현대3차아파트)","서울특별시 영등포구 대림동 608-1 현대3차아파트","306동 2603호",82/07/18,18/10/15
"mbc_1082","#Abcd1234","구구준","m","mbc_82@abcd.com","010-1234-1082","02-860-1234","08750","서울특별시 관악구 봉천로 387 (봉천동, 두산아파트)","서울특별시 관악구 봉천동 1708 두산아파트","112동 1118호",52/12/13,14/09/11
"mbc_1083","#Abcd1234","강운한","f","mbc_83@abcd.com","010-1234-1083","02-860-1234","08845","서울특별시 관악구 신림로29길 8 (신림동, 신림현대아파트)","서울특별시 관악구 신림동 1694 신림현대아파트","102동 1203호",72/04/14,11/03/16
"mbc_1084","#Abcd1234","송우한","f","mbc_84@abcd.com","010-1234-1084","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","102동 1117호",50/12/18,17/11/12
"mbc_1085","#Abcd1234","강강수","m","mbc_85@abcd.com","010-1234-1085","02-860-1234","08291","서울특별시 구로구 새말로9길 45 (구로동, 신도림현대아파트)","서울특별시 구로구 구로동 560 신도림현대아파트","103동 1913호",76/03/18,23/12/26
"mbc_1086","#Abcd1234","서문운주","m","mbc_86@abcd.com","010-1234-1086","02-860-1234","08288","서울특별시 구로구 새말로 93 (구로동, 신도림태영타운)","서울특별시 구로구 구로동 1267 신도림태영타운","105동 1407호",01/03/26,17/06/05
"mbc_1087","#Abcd1234","선우구준","m","mbc_87@abcd.com","010-1234-1087","02-860-1234","07376","서울특별시 영등포구 도신로 31 (대림동, 현대3차아파트)","서울특별시 영등포구 대림동 608-1 현대3차아파트","305동 3015호",11/06/13,11/08/20
"mbc_1088","#Abcd1234","장이민","f","mbc_88@abcd.com","010-1234-1088","02-860-1234","08208","서울특별시 구로구 경인로65길 16-15 (신도림동, 신도림4차 e-편한세상)","서울특별시 구로구 신도림동 646 신도림4차 e-편한세상","1104동 2404호",22/03/16,20/02/05
